,director_name,num_critic_for_reviews,duration,director_facebook_likes,movie_title,imdb_score
122,Shawn Levy,185.0,105.0,189.0,Night at the Museum: Battle of the Smithsonian ,5.9
123,Gavin Hood,350.0,119.0,151.0,X-Men Origins: Wolverine ,6.7
124,Lana Wachowski,245.0,129.0,0.0,The Matrix Revolutions ,6.7
125,Chris Buck,406.0,102.0,69.0,Frozen ,7.6
126,Lana Wachowski,275.0,138.0,0.0,The Matrix Reloaded ,7.2
127,Alan Taylor,486.0,112.0,230.0,Thor: The Dark World ,7.1
128,George Miller,739.0,120.0,750.0,Mad Max: Fury Road ,8.1
129,Ron Howard,298.0,146.0,2000.0,Angels & Demons ,6.7
130,Kenneth Branagh,516.0,115.0,0.0,Thor ,7.0
131,Byron Howard,225.0,96.0,59.0,Bolt ,6.9
132,Hoyt Yeatman,145.0,88.0,12.0,G-Force ,5.1
133,Jonathan Liebesman,310.0,99.0,473.0,Wrath of the Titans ,5.8
134,Tim Burton,526.0,113.0,13000.0,Dark Shadows ,6.2
135,Christopher McQuarrie,465.0,131.0,188.0,Mission: Impossible - Rogue Nation ,7.4
136,Joe Johnston,357.0,119.0,394.0,The Wolfman ,5.8
137,David Yates,248.0,110.0,282.0,The Legend of Tarzan ,6.6
138,Steve Hickner,194.0,91.0,58.0,Bee Movie ,6.2
139,Jennifer Yuh Nelson,284.0,90.0,90.0,Kung Fu Panda 2 ,7.3
140,M. Night Shyamalan,280.0,103.0,0.0,The Last Airbender ,4.2
141,J.J. Abrams,310.0,124.0,14000.0,Mission: Impossible III ,6.9
142,Roland Emmerich,339.0,131.0,776.0,White House Down ,6.4
143,Simon Wells,132.0,88.0,25.0,Mars Needs Moms ,5.4
144,David Bowers,135.0,85.0,42.0,Flushed Away ,6.7
145,Joe Wright,256.0,111.0,456.0,Pan ,5.8
146,Rob Minkoff,196.0,92.0,50.0,Mr. Peabody & Sherman ,6.9
147,Wolfgang Petersen,220.0,196.0,249.0,Troy ,7.2
148,Eric Darnell,211.0,93.0,35.0,Madagascar 3: Europe's Most Wanted ,6.9
149,Lee Tamahori,264.0,133.0,93.0,Die Another Day ,6.1
150,Paul Feig,464.0,116.0,176.0,Ghostbusters ,5.5
151,Michael Bay,167.0,153.0,0.0,Armageddon ,6.6
152,Barry Sonnenfeld,208.0,88.0,188.0,Men in Black II ,6.1
153,Robert Zemeckis,287.0,115.0,0.0,Beowulf ,6.3
154,Alessandro Carloni,210.0,95.0,5.0,Kung Fu Panda 3 ,7.2
155,Brad Bird,432.0,133.0,663.0,Mission: Impossible - Ghost Protocol ,7.4
156,Peter Ramsey,256.0,97.0,52.0,Rise of the Guardians ,7.3
157,Dean Parisot,135.0,90.0,23.0,Fun with Dick and Jane ,6.1
158,Edward Zwick,190.0,154.0,380.0,The Last Samurai ,7.7
159,Ridley Scott,314.0,150.0,0.0,Exodus: Gods and Kings ,6.1
160,J.J. Abrams,518.0,127.0,14000.0,Star Trek ,8.0
161,Sam Raimi,291.0,121.0,0.0,Spider-Man ,7.3
162,Dean DeBlois,292.0,102.0,255.0,How to Train Your Dragon 2 ,7.9
163,Alex Proyas,184.0,126.0,295.0,Gods of Egypt ,5.5
164,Rob Cohen,145.0,121.0,357.0,Stealth ,5.0
165,Zack Snyder,451.0,215.0,0.0,Watchmen ,7.7
166,Richard Donner,141.0,127.0,503.0,Lethal Weapon 4 ,6.6
167,Ang Lee,267.0,138.0,0.0,Hulk ,5.7
168,Jon M. Chu,351.0,122.0,209.0,G.I. Joe: Retaliation ,5.8
169,Breck Eisner,163.0,124.0,42.0,Sahara ,6.0
170,Hironobu Sakaguchi,166.0,106.0,6.0,Final Fantasy: The Spirits Within ,6.4
171,Joe Johnston,510.0,124.0,394.0,Captain America: The First Avenger ,6.9
172,Michael Apted,197.0,128.0,150.0,The World Is Not Enough ,6.4
173,Peter Weir,244.0,138.0,608.0,Master and Commander: The Far Side of the World ,7.4
174,Bill Condon,322.0,115.0,386.0,The Twilight Saga: Breaking Dawn - Part 2 ,5.5
175,George Miller,156.0,100.0,750.0,Happy Feet 2 ,5.9
176,Louis Leterrier,354.0,135.0,255.0,The Incredible Hulk ,6.8
177,,21.0,60.0,,Miami Vice             ,7.5
178,Steven Spielberg,252.0,117.0,14000.0,The BFG ,6.8
179,Alejandro G. Iñárritu,556.0,156.0,0.0,The Revenant ,8.1
180,David Soren,166.0,96.0,13.0,Turbo ,6.5
181,Gore Verbinski,362.0,107.0,563.0,Rango ,7.2
182,Eric Darnell,153.0,92.0,35.0,Penguins of Madagascar ,6.7
183,Paul Greengrass,329.0,115.0,521.0,The Bourne Ultimatum ,8.1
184,Mark Osborne,266.0,92.0,54.0,Kung Fu Panda ,7.6
185,Peyton Reed,517.0,117.0,235.0,Ant-Man ,7.4
186,Francis Lawrence,502.0,146.0,508.0,The Hunger Games: Catching Fire ,7.6
187,Bill Condon,322.0,115.0,386.0,The Twilight Saga: Breaking Dawn - Part 2 ,5.5
188,Tim Johnson,165.0,94.0,12.0,Home ,6.7
189,Steven Spielberg,401.0,116.0,14000.0,War of the Worlds ,6.5
190,Michael Bay,94.0,147.0,0.0,Bad Boys II ,6.6
191,Chris Miller,246.0,90.0,50.0,Puss in Boots ,6.7
192,Phillip Noyce,330.0,101.0,176.0,Salt ,6.4
193,Darren Aronofsky,434.0,138.0,0.0,Noah ,5.8
194,Steven Spielberg,440.0,107.0,14000.0,The Adventures of Tintin ,7.4
195,Alfonso Cuarón,274.0,142.0,0.0,Harry Potter and the Prisoner of Azkaban ,7.8
196,Baz Luhrmann,245.0,165.0,1000.0,Australia ,6.6
197,M. Night Shyamalan,349.0,100.0,0.0,After Earth ,4.9
198,Eric Leighton,145.0,82.0,0.0,Dinosaur ,6.5
199,Matt Birch,1.0,,0.0,Harry Potter and the Deathly Hallows: Part II ,7.5
200,Shawn Levy,154.0,98.0,189.0,Night at the Museum: Secret of the Tomb ,6.2
201,Tom McGrath,233.0,95.0,96.0,Megamind ,7.3
202,Chris Columbus,258.0,159.0,0.0,Harry Potter and the Sorcerer's Stone ,7.5
203,Robert Schwentke,208.0,96.0,124.0,R.I.P.D. ,5.6
204,Hideaki Anno,1.0,120.0,28.0,Godzilla Resurgence ,8.2
205,Gore Verbinski,271.0,143.0,563.0,Pirates of the Caribbean: The Curse of the Black Pearl ,8.1
206,Matt Birch,4.0,,0.0,Harry Potter and the Deathly Hallows: Part I ,6.4
207,Francis Lawrence,403.0,123.0,508.0,The Hunger Games: Mockingjay - Part 1 ,6.7
208,Ron Howard,294.0,174.0,2000.0,The Da Vinci Code ,6.6
209,Carlos Saldanha,159.0,101.0,107.0,Rio 2 ,6.4
210,Bryan Singer,289.0,134.0,0.0,X-Men 2 ,7.5
211,Justin Lin,342.0,132.0,681.0,Fast Five ,7.3
212,Guy Ritchie,382.0,129.0,0.0,Sherlock Holmes: A Game of Shadows ,7.5
213,Louis Leterrier,344.0,106.0,255.0,Clash of the Titans ,5.8
214,Paul Verhoeven,196.0,113.0,719.0,Total Recall ,7.5
215,John McTiernan,85.0,102.0,323.0,The 13th Warrior ,6.6
216,Tony Gilroy,436.0,135.0,209.0,The Bourne Legacy ,6.7
217,Joel Schumacher,183.0,125.0,541.0,Batman & Robin ,3.7
218,Ron Howard,175.0,110.0,2000.0,How the Grinch Stole Christmas ,6.0
219,Roland Emmerich,239.0,124.0,776.0,The Day After Tomorrow ,6.4
220,John Woo,237.0,123.0,610.0,Mission: Impossible II ,6.1
221,Wolfgang Petersen,231.0,130.0,249.0,The Perfect Storm ,6.4
222,Tim Story,262.0,92.0,167.0,Fantastic 4: Rise of the Silver Surfer ,5.6
223,Ang Lee,552.0,127.0,0.0,Life of Pi ,8.0
224,Mark Steven Johnson,276.0,123.0,160.0,Ghost Rider ,5.2
225,Paul Greengrass,267.0,123.0,521.0,Jason Bourne ,7.1
226,McG,102.0,107.0,368.0,Charlie's Angels: Full Throttle ,4.8
227,Ridley Scott,775.0,124.0,0.0,Prometheus ,7.0
228,Rob Minkoff,71.0,77.0,50.0,Stuart Little 2 ,5.4
229,Neill Blomkamp,476.0,109.0,662.0,Elysium ,6.6
230,David Twohy,207.0,134.0,123.0,The Chronicles of Riddick ,6.7
231,José Padilha,492.0,117.0,294.0,RoboCop ,6.2
232,Lana Wachowski,284.0,135.0,0.0,Speed Racer ,6.1
233,James L. Brooks,168.0,121.0,274.0,How Do You Know ,5.3
234,James Mangold,283.0,117.0,446.0,Knight and Day ,6.3
235,Joseph Kosinski,539.0,124.0,364.0,Oblivion ,7.0
236,George Lucas,359.0,140.0,0.0,Star Wars: Episode III - Revenge of the Sith ,7.6
237,George Lucas,284.0,142.0,0.0,Star Wars: Episode II - Attack of the Clones ,6.7
238,Pete Docter,250.0,92.0,0.0,"Monsters, Inc. ",8.1
239,James Mangold,440.0,138.0,446.0,The Wolverine ,6.7
240,George Lucas,320.0,136.0,0.0,Star Wars: Episode I - The Phantom Menace ,6.5
241,Kirk De Micco,257.0,98.0,16.0,The Croods ,7.3
242,Frédéric Forestier,33.0,116.0,0.0,Asterix at the Olympic Games ,5.1
243,John Woo,152.0,153.0,610.0,Windtalkers ,6.0
244,Cedric Nicolas-Troyan,231.0,120.0,19.0,The Huntsman: Winter's War ,6.1
245,Jonathan Liebesman,348.0,101.0,473.0,Teenage Mutant Ninja Turtles ,5.9
246,Alfonso Cuarón,738.0,91.0,0.0,Gravity ,7.8
247,Roger Donaldson,93.0,108.0,79.0,Dante's Peak ,5.8
248,Dave Green,181.0,112.0,13.0,Teenage Mutant Ninja Turtles: Out of the Shadows ,6.3
249,Josh Trank,369.0,100.0,128.0,Fantastic Four ,4.3
250,Shawn Levy,179.0,108.0,189.0,Night at the Museum ,6.4
251,Brad Peyton,358.0,114.0,62.0,San Andreas ,6.1
252,Roger Spottiswoode,160.0,119.0,55.0,Tomorrow Never Dies ,6.5
253,Roland Emmerich,192.0,142.0,776.0,The Patriot ,7.1
254,Steven Soderbergh,198.0,125.0,0.0,Ocean's Twelve ,6.4
255,Doug Liman,233.0,126.0,218.0,Mr. & Mrs. Smith ,6.5
256,Robert Schwentke,263.0,119.0,124.0,Insurgent ,6.3
257,Martin Scorsese,267.0,170.0,17000.0,The Aviator ,7.5
258,Rob Letterman,184.0,85.0,11.0,Gulliver's Travels ,4.9
259,Michel Gondry,447.0,119.0,1000.0,The Green Hornet ,5.8
260,,29.0,60.0,,The A-Team             ,7.6
261,Noam Murro,366.0,102.0,263.0,300: Rise of an Empire ,6.2
262,Raja Gosnell,172.0,103.0,67.0,The Smurfs ,5.5
263,Will Finn,104.0,76.0,6.0,Home on the Range ,5.4
264,Robert Schwentke,181.0,120.0,124.0,Allegiant ,5.8
265,Shawn Levy,327.0,127.0,189.0,Real Steel ,7.1
266,Raja Gosnell,125.0,105.0,67.0,The Smurfs 2 ,5.4
267,Jan de Bont,79.0,121.0,101.0,Speed 2: Cruise Control ,3.7
268,Gavin Hood,326.0,114.0,151.0,Ender's Game ,6.7
269,Len Wiseman,354.0,129.0,235.0,Live Free or Die Hard ,7.2
270,Peter Jackson,297.0,171.0,0.0,The Lord of the Rings: The Fellowship of the Ring ,8.8
271,Frank Coraci,188.0,120.0,153.0,Around the World in 80 Days ,5.8
272,Michael Mann,174.0,165.0,0.0,Ali ,6.8
273,Bo Welch,109.0,82.0,34.0,The Cat in the Hat ,3.8
274,Alex Proyas,225.0,115.0,295.0,"I, Robot ",7.1
275,Ridley Scott,239.0,194.0,0.0,Kingdom of Heaven ,7.2
276,Rob Minkoff,101.0,84.0,50.0,Stuart Little ,5.9
277,Ron Clements,228.0,97.0,63.0,The Princess and the Frog ,7.1
278,Ridley Scott,568.0,151.0,0.0,The Martian ,8.1
279,Christopher Barnard,,22.0,0.0,"10,000 B.C.             ",7.2
280,Michael Bay,257.0,136.0,0.0,The Island ,6.9
281,Peter Chelsom,62.0,104.0,23.0,Town & Country ,4.4
282,Dominic Sena,175.0,127.0,57.0,Gone in Sixty Seconds ,6.5
283,Ridley Scott,265.0,171.0,0.0,Gladiator ,8.5
284,Steven Spielberg,252.0,145.0,14000.0,Minority Report ,7.7
285,Chris Columbus,232.0,174.0,0.0,Harry Potter and the Chamber of Secrets ,7.4
286,Martin Campbell,400.0,144.0,258.0,Casino Royale ,8.0
287,Tim Burton,230.0,119.0,13000.0,Planet of the Apes ,5.7
288,James Cameron,210.0,153.0,0.0,Terminator 2: Judgment Day ,8.5
289,Michael Mann,357.0,140.0,0.0,Public Enemies ,7.0
290,Ridley Scott,300.0,176.0,0.0,American Gangster ,7.8
291,James Cameron,94.0,141.0,0.0,True Lies ,7.2
292,Tony Scott,267.0,106.0,12000.0,The Taking of Pelham 1 2 3 ,6.4
293,Paul Weitz,180.0,98.0,80.0,Little Fockers ,5.5
294,Adam McKay,265.0,116.0,285.0,The Other Guys ,6.7
295,Chuck Russell,81.0,115.0,55.0,Eraser ,6.1
296,Quentin Tarantino,765.0,165.0,16000.0,Django Unchained ,8.5
297,Gary Trousdale,80.0,91.0,21.0,The Hunchback of Notre Dame ,6.9
298,Mark Dindal,141.0,78.0,10.0,The Emperor's New Groove ,7.3
299,Simon West,383.0,103.0,165.0,The Expendables 2 ,6.7
300,Jon Turteltaub,193.0,131.0,226.0,National Treasure ,6.9
301,Stefen Fangmeier,170.0,104.0,14.0,Eragon ,5.1
302,Spike Jonze,333.0,101.0,0.0,Where the Wild Things Are ,6.8
303,Joe Wright,256.0,111.0,456.0,Pan ,5.8
304,Chris Wedge,203.0,102.0,77.0,Epic ,6.7
305,Florian Henckel von Donnersmarck,321.0,103.0,207.0,The Tourist ,6.0
306,Peter Hyams,174.0,121.0,0.0,End of Days ,5.7
307,Edward Zwick,166.0,143.0,380.0,Blood Diamond ,8.0
308,Martin Scorsese,606.0,240.0,17000.0,The Wolf of Wall Street ,8.2
309,Joel Schumacher,144.0,121.0,541.0,Batman Forever ,5.4
310,Paul Verhoeven,192.0,129.0,719.0,Starship Troopers ,7.2
311,Tom Tykwer,511.0,172.0,670.0,Cloud Atlas ,7.5
312,Zack Snyder,188.0,101.0,0.0,Legend of the Guardians: The Owls of Ga'Hoole ,7.0
313,Pitof,212.0,87.0,26.0,Catwoman ,3.3
314,Brett Ratner,245.0,101.0,420.0,Hercules ,6.0
315,Ron Clements,127.0,95.0,63.0,Treasure Planet ,7.1
316,Brad Silberling,167.0,102.0,52.0,Land of the Lost ,5.4
317,Patrick Hughes,320.0,131.0,385.0,The Expendables 3 ,6.1
318,Ericson Core,163.0,114.0,19.0,Point Break ,5.3
319,Lawrence Guterman,78.0,94.0,6.0,Son of the Mask ,2.2
320,Ron Howard,289.0,122.0,2000.0,In the Heart of the Sea ,7.0
321,Ron Underwood,66.0,95.0,31.0,The Adventures of Pluto Nash ,3.8
322,Paul Greengrass,266.0,115.0,521.0,Green Zone ,6.9
323,Steve Martino,208.0,88.0,20.0,The Peanuts Movie ,7.2
324,David Mamet,97.0,110.0,342.0,The Spanish Prisoner ,7.3
325,Stephen Sommers,202.0,130.0,208.0,The Mummy Returns ,6.3
326,Martin Scorsese,233.0,216.0,17000.0,Gangs of New York ,7.5
327,Yimou Zhang,136.0,146.0,611.0,The Flowers of War ,7.6
328,Ash Brannon,154.0,85.0,9.0,Surf's Up ,6.8
329,Frank Oz,169.0,93.0,0.0,The Stepford Wives ,5.2
330,Ridley Scott,200.0,152.0,0.0,Black Hawk Down ,7.7
331,Jay Roach,255.0,85.0,116.0,The Campaign ,6.2
332,Luc Besson,173.0,126.0,0.0,The Fifth Element ,7.7
333,Michael Patrick King,221.0,146.0,127.0,Sex and the City 2 ,4.3
334,Bibo Bergeron,82.0,89.0,10.0,The Road to El Dorado ,6.9
335,Steve Martino,233.0,88.0,20.0,Ice Age: Continental Drift ,6.6
336,Kenneth Branagh,343.0,105.0,0.0,Cinderella ,7.0
337,Peter Jackson,308.0,135.0,0.0,The Lovely Bones ,6.7
338,Andrew Stanton,301.0,100.0,475.0,Finding Nemo ,8.2
339,Peter Jackson,328.0,192.0,0.0,The Lord of the Rings: The Return of the King ,8.9
340,Peter Jackson,294.0,172.0,0.0,The Lord of the Rings: The Two Towers ,8.7
341,Sergey Bodrov,175.0,102.0,44.0,Seventh Son ,5.5
342,Simon West,199.0,100.0,165.0,Lara Croft: Tomb Raider ,5.7
343,Wally Pfister,355.0,119.0,0.0,Transcendence ,6.3
344,Joe Johnston,198.0,92.0,394.0,Jurassic Park III ,5.9
345,Rupert Wyatt,529.0,105.0,81.0,Rise of the Planet of the Apes ,7.6
346,Mark Waters,198.0,107.0,70.0,The Spiderwick Chronicles ,6.6
347,John Moore,412.0,101.0,212.0,A Good Day to Die Hard ,5.3
348,John Lee Hancock,106.0,137.0,102.0,The Alamo ,6.0
349,Brad Bird,283.0,115.0,663.0,The Incredibles ,8.0
350,Renny Harlin,61.0,124.0,212.0,Cutthroat Island ,5.6
351,Chris Columbus,217.0,118.0,0.0,Percy Jackson & the Olympians: The Lightning Thief ,5.9
352,Barry Sonnenfeld,175.0,98.0,188.0,Men in Black ,7.3
353,John Lasseter,191.0,82.0,487.0,Toy Story 2 ,7.9
354,Tony Scott,316.0,98.0,12000.0,Unstoppable ,6.8
355,Brett Ratner,127.0,90.0,420.0,Rush Hour 2 ,6.6
356,Robert Zemeckis,185.0,130.0,0.0,What Lies Beneath ,6.6
357,Phil Lord,191.0,90.0,97.0,Cloudy with a Chance of Meatballs ,7.0
358,Carlos Saldanha,188.0,94.0,107.0,Ice Age: Dawn of the Dinosaurs ,7.0
359,Ben Stiller,362.0,114.0,0.0,The Secret Life of Walter Mitty ,7.3
360,McG,181.0,94.0,368.0,Charlie's Angels ,5.5
361,Martin Scorsese,352.0,151.0,17000.0,The Departed ,8.5
362,Tony Bancroft,143.0,88.0,7.0,Mulan ,7.5
363,Ben Stiller,308.0,121.0,0.0,Tropic Thunder ,7.0
364,David Fincher,517.0,158.0,21000.0,The Girl with the Dragon Tattoo ,7.8
365,John McTiernan,148.0,128.0,323.0,Die Hard with a Vengeance ,7.6
366,Guy Ritchie,415.0,128.0,0.0,Sherlock Holmes ,7.6
367,Timur Bekmambetov,1.0,141.0,335.0,Ben-Hur ,6.1
368,Gary Trousdale,146.0,95.0,21.0,Atlantis: The Lost Empire ,6.8
369,Walt Becker,70.0,92.0,12.0,Alvin and the Chipmunks: The Road Chip ,5.0
370,Bryan Singer,269.0,121.0,0.0,Valkyrie ,7.1
371,Dennis Dugan,198.0,113.0,221.0,You Don't Mess with the Zohan ,5.5
