Age,Gender,Ethnicity,Marital Status,Household Size,Spouse,Parent,Friends,Religion,Full Time Employment,Part Time Employment,Retired,Income,US Born,Duration of Residency,Familiarity with America,Language,Satisfaction
40,Female,Chinese,Married,5,Living with spouse,Living with parents,0,Protestant,Employed full time,0,0,"$70,000 and over",No,13,High,Chinese Simplified,Very much
18,Female,Chinese,Single,3,0,Living with parents,0,None,0,0,0,"$10,000 - $19,999",No,0.5,Low,Chinese Simplified,
57,Male,Chinese,Married,4,Living with spouse,0,0,Catholic,Employed full time,0,0,"$70,000 and over",No,29,Very high,English,Very much
19,Female,Chinese,Single,5,0,Living with parents,0,Buddhist,0,0,0,"$20,000 - $29,999",No,7,High,English,Very much
36,Male,Chinese,Married,4,Living with spouse,0,0,Muslim,Employed full time,0,0,"$70,000 and over",No,4,Low,Eng_Chinese only,
68,Male,Chinese,Married,2,Living with spouse,0,0,Buddhist,0,0,Retired,"$50,000 - $59,999",No,39,High,Eng_Chinese only,Very much
76,Female,Chinese,Married,4,Living with spouse,0,0,None,0,0,Retired,"$10,000 - $19,999",No,6,Low,Chinese Simplified,
75,Female,Chinese,,2,0,0,0,Protestant,0,0,Retired,"$0 - $9,999",No,10,Low,Chinese Simplified,
51,Female,Chinese,Married,4,Living with spouse,0,0,Buddhist,Employed full time,0,0,"$30,000 - $39,999",No,22,Low,Viet,Pretty much
68,Female,Chinese,Married,7,Living with spouse,0,0,Buddhist,0,0,0,,No,5,Low,Chinese Simplified,
45,Male,Chinese,Married,3,Living with spouse,0,0,Buddhist,Employed full time,0,0,"$20,000 - $29,999",No,2,Very low,Chinese Simplified,
58,Female,Chinese,Married,5,0,0,0,,0,0,Retired,,No,0.5,Low,Chinese Simplified,Very much
41,Male,Chinese,Married,4,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,17,High,Chinese Simplified,Very much
86,Male,Chinese,Married,2,Living with spouse,0,0,Protestant,0,0,Retired,,No,15,Low,Chinese Simplified,Pretty much
25,Female,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,"$0 - $9,999",No,1,Low,Chinese Traditional,
49,Male,Chinese,Married,4,0,0,0,None,Employed full time,0,0,"$70,000 and over",No,16,Low,English,Very much
19,Female,Chinese,Single,2,0,Living with parents,Living with friends/roommates,None,0,0,0,"$20,000 - $29,999",No,0.5,High,Chinese Simplified,Pretty much
32,Female,Chinese,Married,2,Living with spouse,0,0,Protestant,Employed full time,0,0,"$70,000 and over",No,22,Very high,Eng_Chinese only,Not very much
23,Female,Chinese,Single,1,0,0,0,None,Employed full time,0,0,"$70,000 and over",No,2,High,Chinese Simplified,Pretty much
22,Male,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,,No,0.5,Very low,Chinese Traditional,Pretty much
25,Female,Chinese,Other,5,0,0,0,Protestant,0,0,0,"$60,000 - $69,999",No,2,High,Chinese Simplified,
42,,Chinese,Single,3,0,0,0,None,0,0,Retired,,No,0.5,High,Chinese Simplified,
48,Male,Chinese,Married,3,Living with spouse,0,0,,Employed full time,0,0,"$0 - $9,999",No,0.5,Very low,Chinese Simplified,
20,Male,Chinese,Single,2,0,0,0,None,0,0,0,"$30,000 - $39,999",No,0.5,Low,Chinese Simplified,Very much
18,Male,Chinese,Single,2,0,Living with parents,0,None,0,0,0,"$70,000 and over",Yes,18,Very high,Eng_Chinese only,Very much
18,Female,Chinese,Single,4,0,0,Living with friends/roommates,None,0,0,0,"$20,000 - $29,999",Yes,18,Very high,Eng_Chinese only,Pretty much
22,Male,Chinese,Single,4,0,0,Living with friends/roommates,None,0,0,0,"$0 - $9,999",No,0.5,Low,Chinese Simplified,
18,Female,Chinese,Single,4,0,Living with parents,0,None,0,0,0,"$70,000 and over",No,17,Very high,English,Pretty much
36,Male,Chinese,Married,2,Living with spouse,0,0,None,0,0,0,"$70,000 and over",Yes,33,High,Eng_Chinese only,Pretty much
26,Male,Chinese,Living with a partner,3,0,0,Living with friends/roommates,None,Employed full time,0,0,"$60,000 - $69,999",No,3,Low,Chinese Simplified,
21,Male,Chinese,Single,4,0,0,Living with friends/roommates,None,0,0,0,"$30,000 - $39,999",No,0.5,Low,English,Not very much
20,Female,Chinese,Single,3,0,Living with parents,0,None,0,0,0,"$20,000 - $29,999",No,0.5,Low,Chinese Simplified,
25,Female,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,,No,3,High,Chinese Traditional,
31,Female,Chinese,Married,5,Living with spouse,Living with parents,0,None,0,0,0,"$70,000 and over",No,3,Low,Chinese Simplified,Pretty much
22,Male,Chinese,Single,3,0,0,0,None,0,0,0,"$30,000 - $39,999",No,0.5,Low,Chinese Simplified,Pretty much
18,,Chinese,Single,5,0,0,0,None,0,0,0,"$10,000 - $19,999",No,0.5,Low,Chinese Simplified,Pretty much
18,Female,Chinese,Single,3,0,0,Living with friends/roommates,None,0,0,0,"$50,000 - $59,999",No,2,High,Chinese Simplified,Very much
25,Male,Chinese,Single,,0,0,0,None,0,0,0,"$0 - $9,999",No,0.5,Low,Chinese Simplified,Not at all
26,Male,Chinese,Single,4,0,0,0,None,0,0,0,"$10,000 - $19,999",No,0.5,High,Chinese Simplified,Very much
24,Male,Chinese,Married,4,0,0,Living with friends/roommates,None,0,0,0,"$0 - $9,999",No,0.5,Low,Chinese Simplified,Very much
28,Male,Chinese,Single,2,0,0,Living with friends/roommates,None,Employed full time,0,0,"$40,000 - $49,999",No,1,Low,Chinese Simplified,Pretty much
64,Female,Chinese,Married,5,0,0,0,None,0,0,Retired,,No,0.5,Very low,Chinese Traditional,
65,Female,Filipino,,5,,,,,0,0,0,,No,3,,English,
22,Female,Chinese,Single,3,0,0,Living with friends/roommates,None,0,0,0,"$10,000 - $19,999",No,0.5,Very low,Chinese Simplified,
27,Female,Asian Indian,Married,2,Living with spouse,0,0,Hindu,Employed full time,0,0,"$70,000 and over",No,5,Low,English,Pretty much
20,Female,Chinese,Single,1,0,0,0,None,0,0,0,"$0 - $9,999",No,0.5,High,Chinese Simplified,Pretty much
22,Female,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,"$20,000 - $29,999",No,5,High,Eng_Chinese only,Pretty much
55,Male,Chinese,Single,3,0,0,0,Buddhist,Employed full time,0,0,"$10,000 - $19,999",No,38,Low,Chinese Traditional,Pretty much
31,Male,Asian Indian,Married,3,Living with spouse,0,0,Hindu,0,0,0,"$70,000 and over",No,9,Very high,English,
29,Male,Chinese,Single,4,0,Living with parents,0,None,0,0,0,"$40,000 - $49,999",No,0.5,High,Chinese Traditional,Pretty much
22,Male,Chinese,Single,3,0,0,Living with friends/roommates,None,0,0,0,"$20,000 - $29,999",No,0.5,High,Chinese Simplified,
24,Male,Chinese,Single,4,0,0,Living with friends/roommates,None,0,0,0,"$10,000 - $19,999",No,3,Low,Chinese Simplified,Pretty much
68,Female,Chinese,Married,2,Living with spouse,0,0,Catholic,0,0,Retired,"$40,000 - $49,999",No,45,High,Eng_Chinese only,Very much
42,Female,Chinese,Married,4,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,3,Low,Eng_Chinese only,
56,Female,Chinese,Married,4,Living with spouse,0,0,None,0,0,0,"$20,000 - $29,999",No,27,Low,Chinese Simplified,Not very much
24,Male,Chinese,Single,1,0,0,0,None,0,0,0,"$10,000 - $19,999",No,,Low,Chinese Simplified,
22,Female,Chinese,Other,3,0,0,Living with friends/roommates,Buddhist,0,0,0,"$40,000 - $49,999",No,0.5,High,Chinese Traditional,Very much
20,Female,Chinese,Single,5,0,0,0,Buddhist,0,0,0,,No,1,Low,Chinese Traditional,
37,Male,Chinese,Married,3,Living with spouse,0,0,None,Employed full time,0,0,"$50,000 - $59,999",No,0.5,Low,Chinese Simplified,
60,Male,Chinese,Married,3,0,0,0,None,0,0,Retired,"$0 - $9,999",No,0.5,Very low,Chinese Simplified,
18,Male,Chinese,Single,4,0,0,Living with friends/roommates,None,0,0,0,"$70,000 and over",Yes,18,Very high,English,
18,Female,Chinese,Single,1,0,0,0,None,0,0,0,"$10,000 - $19,999",No,0.5,Low,Chinese Simplified,Pretty much
75,Male,Chinese,Married,4,0,0,0,None,0,0,Retired,"$30,000 - $39,999",No,6,Low,Chinese Simplified,
71,Female,Chinese,Married,5,Living with spouse,0,0,None,0,0,0,"$40,000 - $49,999",No,0.5,Very low,Chinese Simplified,
23,Male,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,,No,0.5,Low,Chinese Traditional,Pretty much
61,Male,Chinese,Married,7,0,0,0,None,0,0,Retired,"$70,000 and over",No,0.5,Low,Chinese Traditional,
22,Male,Chinese,Single,4,0,0,Living with friends/roommates,None,0,0,0,"$0 - $9,999",No,0.5,High,Chinese Simplified,
23,Female,Chinese,Single,5,0,Living with parents,0,None,Employed full time,0,0,"$50,000 - $59,999",Yes,23,Very high,Eng_Chinese only,Pretty much
23,Female,Chinese,Single,3,0,0,Living with friends/roommates,None,0,0,0,"$30,000 - $39,999",No,0.5,Low,Chinese Simplified,Pretty much
44,Female,Chinese,Married,4,Living with spouse,0,0,None,0,0,0,"$70,000 and over",No,16,High,Chinese Simplified,Very much
66,Female,Chinese,Married,5,0,0,0,None,0,0,Retired,"$50,000 - $59,999",No,0.5,Low,Chinese Traditional,
19,Male,Chinese,Living with a partner,4,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,1,High,Chinese Traditional,Pretty much
47,Male,Chinese,Married,4,0,0,0,None,0,0,0,"$70,000 and over",No,2,Low,Chinese Simplified,Pretty much
60,Female,Chinese,Single,3,0,0,0,None,0,0,Retired,,No,0.5,Low,Chinese Simplified,
76,Female,Chinese,Married,6,0,0,0,,0,0,Retired,,No,0.5,Low,Chinese Simplified,
64,Female,Chinese,Married,3,0,0,0,None,0,0,Retired,,No,0.5,,Chinese Simplified,
69,Male,Chinese,Married,2,Living with spouse,0,0,Protestant,0,0,Retired,"$70,000 and over",No,33,High,Chinese Traditional,Pretty much
36,Female,Chinese,Married,4,Living with spouse,0,0,Buddhist,0,0,0,"$70,000 and over",No,0.5,Low,Chinese Traditional,
33,Female,Chinese,Married,3,Living with spouse,0,0,None,0,0,0,"$20,000 - $29,999",No,1,Low,Chinese Simplified,
19,Female,Chinese,Single,4,0,Living with parents,0,None,0,0,0,"$10,000 - $19,999",No,9,High,English,
18,Female,Chinese,Single,4,0,Living with parents,0,Protestant,0,0,0,"$70,000 and over",No,16,Very high,English,Pretty much
22,Female,Chinese,Single,4,0,0,Living with friends/roommates,Protestant,0,0,0,"$20,000 - $29,999",No,0.5,High,Eng_Chinese only,Pretty much
68,Female,Chinese,Married,2,0,0,0,None,0,0,Retired,"$0 - $9,999",No,,Low,Chinese Traditional,Very much
22,Female,Chinese,Single,5,0,Living with parents,0,None,0,0,0,"$10,000 - $19,999",No,1,High,Chinese Traditional,Pretty much
67,Female,Chinese,Married,5,0,0,0,None,0,0,Retired,,No,0.5,Very low,Chinese Simplified,
28,Female,Chinese,Married,2,Living with spouse,0,0,None,0,0,0,"$70,000 and over",No,1,Very low,Chinese Simplified,
60,Male,Chinese,Married,6,0,0,0,None,0,0,Retired,"$50,000 - $59,999",No,0.5,High,Chinese Simplified,
29,Male,Chinese,Single,2,0,0,0,Buddhist,Employed full time,0,0,"$30,000 - $39,999",Yes,29,High,English,Pretty much
39,Female,Chinese,Married,6,Living with spouse,Living with parents,0,Catholic,0,0,0,,No,0.5,High,Eng_Chinese only,
27,Male,Chinese,Single,4,0,0,0,None,Employed full time,0,0,"$10,000 - $19,999",No,0.5,Low,Chinese Simplified,Pretty much
20,Female,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,"$20,000 - $29,999",No,0.25,High,Chinese Simplified,
22,Female,Chinese,Single,3,0,0,Living with friends/roommates,None,0,Employed part time,0,"$50,000 - $59,999",No,0.9,High,English,Not very much
32,Female,Chinese,Married,6,Living with spouse,Living with parents,0,None,Employed full time,0,0,"$50,000 - $59,999",No,9,High,Eng_Chinese only,
24,Female,Chinese,Married,3,Living with spouse,0,Living with friends/roommates,None,0,Employed part time,0,"$70,000 and over",No,1,High,Eng_Chinese only,Very much
19,Male,Chinese,Single,5,0,0,Living with friends/roommates,None,0,0,0,"$10,000 - $19,999",Yes,19,Very high,Eng_Chinese only,Very much
28,Male,Chinese,Single,1,0,0,0,None,Employed full time,0,0,"$60,000 - $69,999",No,1,Low,Chinese Traditional,Very much
19,Female,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,"$60,000 - $69,999",No,16,Very high,Eng_Chinese only,Very much
24,Female,Chinese,Living with a partner,2,0,0,Living with friends/roommates,None,Employed full time,0,0,"$0 - $9,999",No,1,High,English,Pretty much
25,Female,Chinese,Single,2,0,0,Living with friends/roommates,None,Employed full time,0,0,"$40,000 - $49,999",No,2,Low,Chinese Simplified,
61,Female,Chinese,Single,1,0,0,0,Buddhist,0,0,0,"$0 - $9,999",No,17,Low,Chinese Traditional,
23,Male,Chinese,Single,1,0,0,0,None,0,0,0,"$0 - $9,999",No,4,Low,Chinese Traditional,
30,Female,Chinese,Married,3,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,8,High,Chinese Simplified,Pretty much
32,Male,Chinese,Married,3,0,0,Living with friends/roommates,None,Employed full time,0,0,"$10,000 - $19,999",No,1,Low,Chinese Simplified,
26,Male,Chinese,Living with a partner,2,0,0,0,Protestant,Employed full time,0,0,,No,6,High,Chinese Simplified,Very much
19,Female,Chinese,Single,2,0,Living with parents,0,None,Employed full time,0,0,"$20,000 - $29,999",Yes,20,High,English,Pretty much
28,Male,Chinese,Single,1,0,0,0,None,Employed full time,0,0,"$70,000 and over",Yes,24,Very high,Eng_Chinese only,Very much
29,Male,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,"$20,000 - $29,999",No,1,Low,Chinese Traditional,Pretty much
33,Male,Chinese,Married,5,Living with spouse,Living with parents,0,None,0,0,0,"$70,000 and over",No,9,High,Chinese Simplified,Pretty much
32,Male,Chinese,Married,3,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,1,Low,Chinese Simplified,Very much
26,Female,Chinese,Married,2,Living with spouse,0,0,None,Employed full time,0,0,"$50,000 - $59,999",No,20,Very high,English,
20,Male,Chinese,Single,4,0,Living with parents,0,None,0,0,0,"$70,000 and over",Yes,16,Very high,English,Very much
23,Male,Chinese,Single,4,0,0,Living with friends/roommates,None,0,0,0,,No,1,Low,Chinese Simplified,Pretty much
22,Male,Chinese,Single,1,0,0,0,None,0,0,0,"$70,000 and over",Yes,22,Very high,English,Very much
21,Female,Chinese,Single,4,0,Living with parents,0,None,0,Employed part time,0,"$70,000 and over",Yes,17,Very high,English,Very much
32,Male,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,"$60,000 - $69,999",No,1,Low,Chinese Traditional,Pretty much
52,Male,Chinese,Married,3,Living with spouse,0,0,None,Employed full time,0,0,"$30,000 - $39,999",No,20,Low,Chinese Simplified,
32,Female,Chinese,Married,2,Living with spouse,0,0,None,0,0,0,"$70,000 and over",No,1,Low,Chinese Simplified,Very much
22,Male,Chinese,Single,3,0,0,Living with friends/roommates,None,0,0,0,"$10,000 - $19,999",No,1,Low,Chinese Simplified,Pretty much
39,Female,Chinese,Married,2,Living with spouse,0,0,None,0,0,0,"$10,000 - $19,999",No,1,Very low,Chinese Simplified,
18,Male,Chinese,Living with a partner,4,0,Living with parents,0,None,0,Employed part time,0,"$70,000 and over",Yes,18,Very high,Chinese Simplified,Not at all
20,Male,Chinese,Single,3,0,0,Living with friends/roommates,None,0,0,0,"$10,000 - $19,999",No,1,Low,Chinese Simplified,
77,Male,Chinese,Married,2,Living with spouse,0,0,None,0,0,Retired,"$0 - $9,999",No,1,Low,Chinese Traditional,
31,Female,Chinese,Married,4,Living with spouse,0,0,None,0,0,0,"$60,000 - $69,999",No,1,Low,Chinese Simplified,Pretty much
22,Female,Chinese,Single,1,0,0,0,None,0,0,0,"$0 - $9,999",No,4,Low,Chinese Simplified,Pretty much
27,Female,Chinese,Married,2,0,0,Living with friends/roommates,None,0,0,0,"$0 - $9,999",No,1,High,Chinese Simplified,
28,Female,Chinese,Single,1,0,0,0,None,0,0,0,"$30,000 - $39,999",No,1,High,Chinese Simplified,Pretty much
21,Male,Chinese,Single,1,0,0,0,None,0,0,0,,No,6,High,Chinese Simplified,
26,Female,Chinese,,2,Living with spouse,0,0,None,0,0,0,"$30,000 - $39,999",No,1,High,English,
56,Female,Chinese,Married,3,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,30,High,English,Pretty much
50,Male,Chinese,Married,4,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,23,Low,Chinese Simplified,Pretty much
39,Female,Chinese,Married,2,0,0,0,Protestant,0,0,0,"$20,000 - $29,999",No,1,Low,Chinese Simplified,
40,Male,Chinese,Married,2,Living with spouse,0,0,Protestant,Employed full time,0,0,"$70,000 and over",No,25,Very high,English,Very much
37,Female,Chinese,Married,3,Living with spouse,0,0,Buddhist,0,0,0,"$50,000 - $59,999",No,36,Very high,English,Very much
37,Female,Chinese,Single,6,0,0,0,Protestant,0,0,0,"$10,000 - $19,999",No,1,High,English,Not very much
25,Male,Chinese,Single,2,0,0,Living with friends/roommates,None,Employed full time,0,0,"$70,000 and over",No,3,High,Eng_Chinese only,Pretty much
31,,Chinese,Married,4,Living with spouse,0,0,Buddhist,Employed full time,0,0,"$70,000 and over",No,4,Low,Eng_Chinese only,
20,Female,Chinese,Single,1,0,0,0,None,0,Employed part time,0,"$10,000 - $19,999",No,5,High,Eng_Chinese only,Very much
22,Male,Chinese,Single,2,0,0,Living with friends/roommates,None,0,Employed part time,0,"$10,000 - $19,999",No,1,High,Eng_Chinese only,
24,Female,Chinese,Single,3,0,0,Living with friends/roommates,Protestant,0,Employed part time,0,"$0 - $9,999",No,1,Low,Chinese Traditional,Pretty much
24,Female,Chinese,Single,2,0,0,0,None,0,0,0,"$20,000 - $29,999",No,1,Low,Chinese Simplified,Pretty much
19,Male,Chinese,Married,1,0,0,0,Protestant,0,0,0,"$30,000 - $39,999",No,1,Very low,Chinese Simplified,
20,Female,Chinese,Single,3,0,Living with parents,0,None,0,Employed part time,0,"$0 - $9,999",Yes,20,Very high,English,Pretty much
47,Female,Chinese,Single,2,0,0,Living with friends/roommates,Protestant,0,0,0,"$30,000 - $39,999",No,1,High,Chinese Traditional,Pretty much
26,Male,Chinese,Single,1,0,0,0,Protestant,Employed full time,0,0,"$40,000 - $49,999",No,5,Low,English,Pretty much
30,Male,Chinese,Single,3,0,0,Living with friends/roommates,Protestant,0,Employed part time,0,"$10,000 - $19,999",No,3,High,English,Very much
18,Male,Chinese,Single,4,0,Living with parents,0,None,0,0,0,"$70,000 and over",No,2,High,Eng_Chinese only,
77,Male,Chinese,Married,5,Living with spouse,0,0,None,0,0,Retired,"$70,000 and over",No,1,Low,Chinese Simplified,
35,Female,Chinese,Married,2,Living with spouse,0,0,None,0,0,0,"$50,000 - $59,999",No,1,High,Chinese Traditional,Pretty much
19,Male,Chinese,Single,3,0,0,Living with friends/roommates,None,0,Employed part time,0,"$30,000 - $39,999",No,1,Low,Chinese Simplified,Pretty much
22,Female,Chinese,Single,4,0,0,Living with friends/roommates,None,0,0,0,"$10,000 - $19,999",No,1,Low,Chinese Simplified,Very much
27,Male,Chinese,Married,2,Living with spouse,0,0,None,Employed full time,0,0,"$30,000 - $39,999",No,1,Low,English,Pretty much
78,Female,Chinese,Single,5,0,0,0,None,0,0,Retired,,No,3,Low,Chinese Traditional,Very much
23,Female,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,"$60,000 - $69,999",No,1,Low,Chinese Traditional,
20,Male,Chinese,Single,1,0,0,0,None,0,0,0,"$40,000 - $49,999",No,5,High,Chinese Traditional,Pretty much
22,Female,Chinese,Single,4,0,0,Living with friends/roommates,None,Employed full time,0,0,"$0 - $9,999",No,1,Low,Chinese Simplified,Pretty much
72,Female,Chinese,Married,5,Living with spouse,0,0,Muslim,0,0,0,"$30,000 - $39,999",No,1,Very low,Chinese Simplified,
71,Female,Chinese,Married,5,Living with spouse,0,0,Muslim,0,0,Retired,"$70,000 and over",No,1,Very low,Chinese Simplified,
27,Male,Chinese,Single,3,0,0,0,Other,Employed full time,0,0,"$70,000 and over",No,20,High,English,Pretty much
33,Male,Chinese,Married,3,Living with spouse,0,0,None,0,0,0,"$30,000 - $39,999",No,1,Low,Chinese Simplified,
24,Male,Chinese,Single,1,0,0,Living with friends/roommates,None,0,0,0,"$0 - $9,999",No,1,Low,Chinese Traditional,
26,Male,Chinese,Single,1,0,0,0,None,Employed full time,0,0,"$20,000 - $29,999",No,7,Low,Eng_Chinese only,Pretty much
21,Female,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,"$0 - $9,999",No,1,High,Chinese Simplified,
32,Male,Chinese,Married,2,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,1,Low,Chinese Simplified,
29,Male,Chinese,Married,2,Living with spouse,0,0,None,0,0,0,"$10,000 - $19,999",No,1,Low,Chinese Simplified,
76,Male,Chinese,Married,6,0,0,0,None,0,0,Retired,"$10,000 - $19,999",No,1,Low,Chinese Simplified,Pretty much
40,Male,Chinese,Married,1,0,0,0,Protestant,Employed full time,0,0,"$30,000 - $39,999",No,1,Very low,Chinese Simplified,
18,Male,Chinese,Single,2,0,0,Living with friends/roommates,Catholic,0,0,0,,No,15,Very high,Chinese Simplified,Pretty much
23,Male,Chinese,Single,2,0,0,Living with friends/roommates,Buddhist,0,Employed part time,0,"$10,000 - $19,999",No,1,Low,Eng_Chinese only,
80,Female,Chinese,Married,3,0,0,0,Protestant,0,0,Retired,"$70,000 and over",No,11,Low,Chinese Simplified,Pretty much
