Age,Gender,Ethnicity,Marital Status,Household Size,Spouse,Parent,Friends,Religion,Full Time Employment,Part Time Employment,Retired,Income,US Born,Duration of Residency,Familiarity with America,Language,Satisfaction
28,Female,Chinese,Single,1,0,0,0,None,0,0,0,"$30,000 - $39,999",No,1,High,Chinese Simplified,Pretty much
56,Female,Chinese,Married,3,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,30,High,English,Pretty much
50,Male,Chinese,Married,4,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,23,Low,Chinese Simplified,Pretty much
40,Male,Chinese,Married,2,Living with spouse,0,0,Protestant,Employed full time,0,0,"$70,000 and over",No,25,Very high,English,Very much
37,Female,Chinese,Married,3,Living with spouse,0,0,Buddhist,0,0,0,"$50,000 - $59,999",No,36,Very high,English,Very much
37,Female,Chinese,Single,6,0,0,0,Protestant,0,0,0,"$10,000 - $19,999",No,1,High,English,Not very much
25,Male,Chinese,Single,2,0,0,Living with friends/roommates,None,Employed full time,0,0,"$70,000 and over",No,3,High,Eng_Chinese only,Pretty much
20,Female,Chinese,Single,1,0,0,0,None,0,Employed part time,0,"$10,000 - $19,999",No,5,High,Eng_Chinese only,Very much
24,Female,Chinese,Single,3,0,0,Living with friends/roommates,Protestant,0,Employed part time,0,"$0 - $9,999",No,1,Low,Chinese Traditional,Pretty much
24,Female,Chinese,Single,2,0,0,0,None,0,0,0,"$20,000 - $29,999",No,1,Low,Chinese Simplified,Pretty much
20,Female,Chinese,Single,3,0,Living with parents,0,None,0,Employed part time,0,"$0 - $9,999",Yes,20,Very high,English,Pretty much
47,Female,Chinese,Single,2,0,0,Living with friends/roommates,Protestant,0,0,0,"$30,000 - $39,999",No,1,High,Chinese Traditional,Pretty much
26,Male,Chinese,Single,1,0,0,0,Protestant,Employed full time,0,0,"$40,000 - $49,999",No,5,Low,English,Pretty much
30,Male,Chinese,Single,3,0,0,Living with friends/roommates,Protestant,0,Employed part time,0,"$10,000 - $19,999",No,3,High,English,Very much
35,Female,Chinese,Married,2,Living with spouse,0,0,None,0,0,0,"$50,000 - $59,999",No,1,High,Chinese Traditional,Pretty much
19,Male,Chinese,Single,3,0,0,Living with friends/roommates,None,0,Employed part time,0,"$30,000 - $39,999",No,1,Low,Chinese Simplified,Pretty much
22,Female,Chinese,Single,4,0,0,Living with friends/roommates,None,0,0,0,"$10,000 - $19,999",No,1,Low,Chinese Simplified,Very much
27,Male,Chinese,Married,2,Living with spouse,0,0,None,Employed full time,0,0,"$30,000 - $39,999",No,1,Low,English,Pretty much
20,Male,Chinese,Single,1,0,0,0,None,0,0,0,"$40,000 - $49,999",No,5,High,Chinese Traditional,Pretty much
22,Female,Chinese,Single,4,0,0,Living with friends/roommates,None,Employed full time,0,0,"$0 - $9,999",No,1,Low,Chinese Simplified,Pretty much
27,Male,Chinese,Single,3,0,0,0,Other,Employed full time,0,0,"$70,000 and over",No,20,High,English,Pretty much
26,Male,Chinese,Single,1,0,0,0,None,Employed full time,0,0,"$20,000 - $29,999",No,7,Low,Eng_Chinese only,Pretty much
76,Male,Chinese,Married,6,0,0,0,None,0,0,Retired,"$10,000 - $19,999",No,1,Low,Chinese Simplified,Pretty much
80,Female,Chinese,Married,3,0,0,0,Protestant,0,0,Retired,"$70,000 and over",No,11,Low,Chinese Simplified,Pretty much
28,Female,Chinese,Single,1,0,0,0,Buddhist,0,0,0,"$30,000 - $39,999",No,1,Low,Chinese Traditional,Pretty much
33,Male,Chinese,Married,3,Living with spouse,0,0,None,Employed full time,0,0,"$20,000 - $29,999",No,1,Low,Chinese Simplified,Pretty much
25,Female,Chinese,Married,4,Living with spouse,0,0,Buddhist,0,0,0,"$10,000 - $19,999",No,1,High,Chinese Traditional,Very much
25,Female,Chinese,Single,1,0,0,0,Protestant,0,0,0,"$30,000 - $39,999",Yes,3,High,Chinese Traditional,Not very much
34,Female,Chinese,Married,4,Living with spouse,0,0,Protestant,0,0,0,"$40,000 - $49,999",No,6,Low,Chinese Traditional,Pretty much
40,Male,Chinese,Married,4,Living with spouse,0,0,Protestant,Employed full time,0,0,"$70,000 and over",No,1,Low,Chinese Traditional,Very much
23,Female,Chinese,Single,3,0,0,Living with friends/roommates,Protestant,Employed full time,0,0,"$0 - $9,999",No,1,Low,Chinese Traditional,Pretty much
21,Female,Chinese,Single,3,0,0,Living with friends/roommates,None,0,0,0,"$20,000 - $29,999",No,10,Low,Chinese Simplified,Pretty much
28,Male,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,"$30,000 - $39,999",No,1.5,Low,Chinese Traditional,Pretty much
23,Male,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,"$10,000 - $19,999",No,1.5,Low,Chinese Traditional,Pretty much
19,Female,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,"$0 - $9,999",Yes,19,Very high,English,Pretty much
26,Male,Chinese,Single,1,0,0,0,None,Employed full time,0,0,"$70,000 and over",No,19,Very high,Eng_Chinese only,Pretty much
25,Male,Chinese,Single,2,0,0,Living with friends/roommates,None,Employed full time,0,0,"$70,000 and over",No,7,High,Eng_Chinese only,Very much
29,Male,Chinese,Married,2,Living with spouse,0,0,Muslim,0,0,0,"$10,000 - $19,999",No,2,High,Chinese Simplified,Pretty much
24,Female,Chinese,Living with a partner,2,0,0,0,Protestant,0,0,0,"$0 - $9,999",No,2,Low,Chinese Simplified,Very much
19,Male,Chinese,Single,3,0,0,Living with friends/roommates,None,0,0,0,"$30,000 - $39,999",No,5,High,Eng_Chinese only,Pretty much
26,Female,Chinese,Single,5,0,0,Living with friends/roommates,None,Employed full time,0,0,"$40,000 - $49,999",No,8,Low,Eng_Chinese only,Pretty much
47,Male,Chinese,Married,3,0,0,Living with friends/roommates,Protestant,0,Employed part time,0,"$0 - $9,999",No,2,Very low,Chinese Simplified,Pretty much
57,Female,Chinese,Married,2,Living with spouse,0,0,None,0,Employed part time,0,"$70,000 and over",No,16,Low,Chinese Simplified,Pretty much
20,Male,Chinese,Single,4,0,0,Living with friends/roommates,Buddhist,0,0,0,"$10,000 - $19,999",No,9,High,Chinese Traditional,Pretty much
71,Male,Chinese,Married,2,Living with spouse,0,0,Protestant,0,0,Retired,"$70,000 and over",No,34,High,Chinese Simplified,Pretty much
51,Male,Chinese,Married,4,Living with spouse,0,0,Protestant,Employed full time,0,0,"$60,000 - $69,999",No,15,Low,Chinese Traditional,Pretty much
34,Male,Chinese,Single,2,0,0,Living with friends/roommates,Protestant,Employed full time,0,0,"$70,000 and over",No,17,Low,Eng_Chinese only,Pretty much
43,Female,Chinese,Married,8,Living with spouse,0,0,Buddhist,0,0,0,"$70,000 and over",No,24,Low,Chinese Traditional,Pretty much
27,Male,Chinese,Married,4,Living with spouse,0,0,Protestant,Employed full time,0,0,"$20,000 - $29,999",No,2,High,Chinese Simplified,Pretty much
67,Male,Chinese,Married,6,0,0,0,Protestant,0,0,Retired,"$0 - $9,999",No,1,Very low,Chinese Simplified,Pretty much
27,Male,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,"$70,000 and over",No,4,High,Chinese Simplified,Pretty much
41,Female,Chinese,Married,2,Living with spouse,0,0,Buddhist,0,0,0,"$70,000 and over",No,8,High,Eng_Chinese only,Pretty much
20,Male,Chinese,Single,6,0,Living with parents,0,Buddhist,0,0,0,"$70,000 and over",No,2,High,Eng_Chinese only,Pretty much
20,Male,Chinese,Single,4,0,Living with parents,0,None,0,0,0,"$40,000 - $49,999",Yes,20,High,English,Pretty much
30,Female,Chinese,Married,5,Living with spouse,Living with parents,0,Protestant,Employed full time,0,0,"$10,000 - $19,999",No,8,High,Chinese Traditional,Very much
69,Male,Chinese,Married,7,0,0,0,Buddhist,0,0,Retired,"$10,000 - $19,999",No,3,Low,Chinese Simplified,Not very much
30,Female,Chinese,Married,2,Living with spouse,0,0,None,Employed full time,0,0,"$10,000 - $19,999",No,6,High,Chinese Simplified,Pretty much
18,Male,Chinese,Single,2,0,Living with parents,0,Protestant,0,Employed part time,0,"$0 - $9,999",No,2,Low,Chinese Traditional,Pretty much
36,Female,Chinese,Single,1,0,0,0,Protestant,0,0,0,"$10,000 - $19,999",No,2,Low,Chinese Traditional,Pretty much
28,Male,Chinese,Married,3,Living with spouse,0,0,Protestant,Employed full time,0,0,"$70,000 and over",No,10,Very high,Eng_Chinese only,Very much
25,Female,Chinese,Single,3,0,Living with parents,0,Protestant,0,Employed part time,0,"$0 - $9,999",No,4,Low,Chinese Traditional,Pretty much
82,Female,Chinese,Married,3,Living with spouse,0,0,None,0,0,Retired,"$50,000 - $59,999",No,36,High,Chinese Traditional,Pretty much
21,Female,Chinese,Single,1,0,0,0,Protestant,Employed full time,0,0,"$10,000 - $19,999",No,3,Low,English,Not very much
26,Female,Chinese,Single,1,0,0,0,None,Employed full time,0,0,"$50,000 - $59,999",No,7,High,Chinese Simplified,Very much
66,Female,Chinese,Married,2,Living with spouse,0,0,Protestant,0,0,Retired,"$50,000 - $59,999",No,20,High,Chinese Traditional,Pretty much
23,Female,Chinese,Single,2,0,Living with parents,0,None,0,Employed part time,0,"$60,000 - $69,999",No,7,Low,Chinese Simplified,Pretty much
66,Male,Chinese,Living with a partner,2,Living with spouse,0,0,Buddhist,0,0,Retired,"$40,000 - $49,999",No,42,High,Chinese Simplified,Pretty much
33,Female,Chinese,Married,4,Living with spouse,0,0,Buddhist,0,Employed part time,0,"$70,000 and over",No,3,Low,Chinese Simplified,Not very much
42,Male,Chinese,Married,3,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,24,High,Eng_Chinese only,Pretty much
33,Female,Chinese,Married,3,Living with spouse,0,0,None,0,Employed part time,0,"$70,000 and over",No,17,High,English,Not very much
32,Male,Chinese,Single,1,0,0,0,None,Employed full time,0,0,"$20,000 - $29,999",Yes,32,Very high,English,Pretty much
21,Female,Chinese,Single,4,0,0,Living with friends/roommates,None,0,0,0,"$0 - $9,999",No,10,High,Eng_Chinese only,Very much
29,Male,Chinese,Single,5,0,0,Living with friends/roommates,None,Employed full time,0,0,"$70,000 and over",No,7,Low,Eng_Chinese only,Pretty much
25,Male,Chinese,Single,2,0,0,0,None,0,0,0,"$50,000 - $59,999",No,3,Low,Chinese Simplified,Pretty much
30,Male,Chinese,Single,3,0,0,Living with friends/roommates,Buddhist,Employed full time,0,0,"$70,000 and over",Yes,18,High,Chinese Traditional,Very much
38,Female,Chinese,Married,1,0,0,0,None,Employed full time,0,0,"$70,000 and over",No,5,High,English,Very much
21,Male,Chinese,Single,3,0,0,Living with friends/roommates,None,0,Employed part time,0,"$70,000 and over",Yes,21,Very high,Eng_Chinese only,Very much
28,Female,Chinese,Married,2,Living with spouse,0,0,None,0,0,0,"$70,000 and over",No,3,High,Chinese Traditional,Not very much
37,Female,Chinese,Married,6,Living with spouse,0,0,None,0,0,0,"$70,000 and over",No,8,Low,Chinese Simplified,Pretty much
37,Female,Chinese,Married,3,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,10,Low,Chinese Simplified,Pretty much
35,Male,Chinese,Married,5,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,4,Low,Chinese Simplified,Pretty much
37,Female,Chinese,Married,2,Living with spouse,0,0,Protestant,0,0,0,"$10,000 - $19,999",No,3,Low,Chinese Traditional,Pretty much
62,Female,Chinese,Single,1,0,0,0,Protestant,0,0,Retired,"$30,000 - $39,999",No,34,High,Chinese Traditional,Pretty much
28,Male,Chinese,Single,2,0,0,Living with friends/roommates,Buddhist,0,0,0,"$30,000 - $39,999",No,3,Low,Chinese Traditional,Pretty much
34,Male,Chinese,Married,3,0,0,0,None,Employed full time,0,0,"$70,000 and over",No,8,Low,Chinese Simplified,Pretty much
21,Female,Chinese,Single,5,0,0,Living with friends/roommates,Protestant,0,0,0,"$70,000 and over",Yes,21,High,Eng_Chinese only,Very much
38,Male,Chinese,Married,4,Living with spouse,0,0,Protestant,Employed full time,0,0,"$70,000 and over",No,8,High,Chinese Simplified,Pretty much
25,Female,Chinese,Single,3,0,0,Living with friends/roommates,Protestant,0,Employed part time,0,"$20,000 - $29,999",No,3,Low,Chinese Simplified,Pretty much
31,Female,Chinese,Married,3,Living with spouse,0,0,Protestant,0,0,0,"$10,000 - $19,999",No,3,Low,Eng_Chinese only,Very much
29,Female,Chinese,Married,2,Living with spouse,0,0,Protestant,Employed full time,0,0,"$70,000 and over",No,24,Very high,Eng_Chinese only,Pretty much
70,Male,Chinese,Married,2,Living with spouse,0,0,Protestant,0,0,Retired,"$50,000 - $59,999",No,20,Low,Chinese Traditional,Pretty much
21,Female,Chinese,Single,3,0,0,Living with friends/roommates,None,0,0,0,"$0 - $9,999",Yes,21,Very high,Eng_Chinese only,Pretty much
20,Male,Chinese,Single,4,0,Living with parents,0,Protestant,0,Employed part time,0,"$50,000 - $59,999",Yes,20,Very high,English,Very much
56,Female,Chinese,Married,2,Living with spouse,0,0,Protestant,0,0,Retired,"$70,000 and over",No,30,High,Chinese Traditional,Pretty much
26,Male,Chinese,Single,2,0,0,Living with friends/roommates,None,0,0,0,"$20,000 - $29,999",No,4,Low,Chinese Simplified,Pretty much
22,Male,Chinese,Single,2,0,0,Living with friends/roommates,Protestant,0,0,0,"$40,000 - $49,999",Yes,22,Very high,English,Pretty much
35,Female,Chinese,Married,3,Living with spouse,0,0,None,0,0,0,"$70,000 and over",No,7,Low,Chinese Simplified,Pretty much
30,Female,Chinese,Married,4,Living with spouse,0,0,None,0,0,0,"$70,000 and over",No,4,High,Chinese Simplified,Pretty much
20,Female,Chinese,Single,5,0,Living with parents,0,Protestant,0,0,0,"$60,000 - $69,999",Yes,20,High,Eng_Chinese only,Very much
44,Female,Chinese,Married,4,Living with spouse,0,0,None,Employed full time,Employed part time,0,"$20,000 - $29,999",No,4,High,Chinese Traditional,Not very much
28,Female,Chinese,Married,5,Living with spouse,Living with parents,0,Buddhist,0,0,0,"$70,000 and over",No,4,Low,Chinese Simplified,Very much
32,Male,Chinese,Married,2,Living with spouse,0,0,Protestant,Employed full time,0,0,"$10,000 - $19,999",No,12,High,Eng_Chinese only,Very much
54,Female,Chinese,Married,3,Living with spouse,0,0,Catholic,0,0,0,"$70,000 and over",No,27,Low,Chinese Traditional,Not very much
22,Male,Chinese,Single,4,0,0,Living with friends/roommates,Protestant,0,Employed part time,0,"$70,000 and over",Yes,22,Very high,Eng_Chinese only,Pretty much
22,Male,Chinese,Single,6,0,0,Living with friends/roommates,Protestant,0,Employed part time,0,"$20,000 - $29,999",Yes,22,High,English,Pretty much
36,Female,Chinese,Married,4,Living with spouse,0,0,Protestant,0,0,0,"$70,000 and over",No,10,Low,Chinese Traditional,Very much
36,Female,Chinese,Married,4,Living with spouse,0,0,Protestant,0,0,0,"$70,000 and over",No,10,Low,Chinese Simplified,Very much
22,Male,Chinese,Single,5,0,0,Living with friends/roommates,Protestant,0,0,0,"$70,000 and over",Yes,22,High,Eng_Chinese only,Pretty much
32,Female,Chinese,Married,2,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,5,High,Eng_Chinese only,Pretty much
64,Female,Chinese,Married,2,Living with spouse,0,0,Buddhist,0,0,Retired,"$60,000 - $69,999",No,41,Very high,Chinese Traditional,Pretty much
44,Female,Chinese,Single,1,0,0,0,None,Employed full time,0,0,"$60,000 - $69,999",Yes,44,Very high,English,Very much
20,Male,Chinese,Single,5,0,Living with parents,0,None,0,Employed part time,0,"$20,000 - $29,999",No,5,Very high,Chinese Simplified,Pretty much
47,Female,Chinese,Married,5,0,Living with parents,0,None,Employed full time,0,0,"$70,000 and over",No,20,High,Chinese Simplified,Pretty much
25,Male,Chinese,Single,1,0,0,0,None,0,0,0,"$20,000 - $29,999",No,10,Low,Eng_Chinese only,Pretty much
24,Male,Chinese,Married,2,Living with spouse,0,0,Protestant,0,0,0,"$40,000 - $49,999",No,7,High,Eng_Chinese only,Pretty much
36,Male,Chinese,Married,6,Living with spouse,0,0,None,Employed full time,0,0,"$70,000 and over",No,8,Low,Chinese Traditional,Pretty much
38,Female,Chinese,Married,4,Living with spouse,0,0,None,0,0,0,"$70,000 and over",No,7,Low,Chinese Simplified,Pretty much
23,Male,Chinese,Single,4,0,0,Living with friends/roommates,Protestant,0,0,0,"$20,000 - $29,999",No,7,High,English,Very much
27,Male,Chinese,Single,3,0,0,Living with friends/roommates,Protestant,0,0,0,"$30,000 - $39,999",No,5,Low,Chinese Traditional,Not very much
32,Female,Chinese,Single,1,0,0,0,None,Employed full time,0,0,"$50,000 - $59,999",No,5,Low,Chinese Simplified,Pretty much
33,Female,Chinese,Single,1,0,0,0,None,0,0,0,"$20,000 - $29,999",No,5,Low,Chinese Traditional,Pretty much
34,Female,Chinese,Married,5,Living with spouse,Living with parents,0,Buddhist,0,0,0,"$50,000 - $59,999",No,7,Very high,Chinese Traditional,Very much
64,Male,Chinese,Single,1,0,0,0,Protestant,0,0,Retired,"$10,000 - $19,999",No,33,High,Chinese Traditional,Pretty much
